scheme,pulse_id,type,mask_size,zeros_enforced,spectral_subtraction,mag_mae,phase_mae,unified_mae,mag_diff,phase_diff,unified_diff
shg-frog,1,peak_energy,0.05,False,False,0.0038149744286553942,0.7743997350771321,0.008804714427046462,-0.001841746719516126,0.6822769611125821,0.002510629985557
shg-frog,1,peak_energy,0.05,False,True,0.0037668295250951407,0.3434511203613093,0.006061485275824669,-0.008295704767939345,0.08196028835664254,-0.007583913285784654
shg-frog,1,peak_energy,0.1,False,False,0.0030491802203115523,0.18597457091194558,0.0037421598047801437,-0.002607540927859968,0.09385179694739552,-0.0025519246367093186
shg-frog,1,peak_energy,0.1,False,True,0.0035888536337672166,0.2751791559811227,0.004844087836018251,-0.008473680659267268,0.013688323976455918,-0.008801310725591073
shg-frog,2,unmasked,0.0,False,False,0.004792613319965215,0.5042416406985099,0.009492052326094336,0.0,0.0,0.0
shg-frog,2,unmasked,0.0,False,True,0.00851571394945249,0.2508682628413182,0.00987812019004257,0.0,0.0,0.0
shg-frog,2,unmasked,0.0,True,False,0.0031821445793171104,0.4958447195268219,0.0077762968251994784,0.0,0.0,0.0
shg-frog,2,unmasked,0.0,True,True,0.004175757563111501,0.5920865245766388,0.009009510476759883,0.0,0.0,0.0
shg-frog,2,peak_energy,0.01,False,False,0.009812122852381807,1.1455808508297582,0.01673347275109391,0.005019509532416592,0.6413392101312484,0.007241420424999572
shg-frog,2,peak_energy,0.01,False,True,0.010120947847118264,1.1857518293214238,0.01654679469212912,0.0016052338976657744,0.9348835664801056,0.006668674502086552
shg-frog,2,peak_energy,0.05,False,False,0.004785271318256727,0.8124695902106758,0.01067125942072033,-7.342001708487977e-06,0.3082279495121659,0.0011792070946259944
shg-frog,2,peak_energy,0.05,False,True,0.004594503481538094,0.38923945564298174,0.006826752842218349,-0.003921210467914396,0.13837119280166355,-0.00305136734782422
shg-frog,2,peak_energy,0.1,False,False,0.0048009148463289235,0.6725289546684717,0.010034008745665755,8.301526363708317e-06,0.16828731396996188,0.000541956419571419
shg-frog,2,peak_energy,0.1,False,True,0.0054302050293594546,0.6553921759007966,0.010379336471177773,-0.0030855089200930354,0.4045239130594784,0.0005012162811352042
shg-frog,3,unmasked,0.0,False,False,0.005151100240818423,0.09390355612032862,0.006026347091810111,0.0,0.0,0.0
shg-frog,3,unmasked,0.0,False,True,0.010098608742150777,0.16994145994904952,0.011466231346232609,0.0,0.0,0.0
shg-frog,3,unmasked,0.0,True,False,0.004236401784973778,0.08584709045509466,0.00495693382728722,0.0,0.0,0.0
shg-frog,3,unmasked,0.0,True,True,0.00527829610239872,0.1969445777037176,0.007034467943159286,0.0,0.0,0.0
shg-frog,3,peak_energy,0.01,False,False,0.008189485458582823,0.904145863391838,0.015398731387228998,0.0030383852177643996,0.8102423072715094,0.009372384295418886
shg-frog,3,peak_energy,0.01,False,True,0.008886002750032396,1.0063613605365287,0.016736227519816124,-0.0012126059921183808,0.8364199005874792,0.005269996173583515
shg-frog,3,peak_energy,0.05,False,False,0.0035922780851205278,0.45701994326679674,0.007409528088195914,-0.0015588221556978952,0.3631163871464681,0.0013831809963858032
shg-frog,3,peak_energy,0.05,False,True,0.0034041278448615534,0.41868341711069107,0.007389684942330138,-0.006694480897289223,0.24874195716164155,-0.004076546403902471
shg-frog,3,peak_energy,0.1,False,False,0.0015554188435833154,0.08645425135908676,0.002367411295934539,-0.0035956813972351075,-0.007449304761241865,-0.0036589357958755724
shg-frog,3,peak_energy,0.1,False,True,0.0026852554743059974,0.16136266275680458,0.004234349228975837,-0.0074133532678447795,-0.008578797192244941,-0.007231882117256772
shg-frog,4,unmasked,0.0,False,False,0.002517334582050252,0.0973711691115078,0.0029484875323530866,0.0,0.0,0.0
shg-frog,4,unmasked,0.0,False,True,0.006222560977307246,0.281538507564796,0.0070858748094821625,0.0,0.0,0.0
shg-frog,4,unmasked,0.0,True,False,0.002008802808104959,0.14814582340746033,0.002569923312450985,0.0,0.0,0.0
shg-frog,4,unmasked,0.0,True,True,0.0030984464204007883,0.3598945837621523,0.0042943765688686335,0.0,0.0,0.0
shg-frog,4,peak_energy,0.01,False,False,0.006852129208716479,1.003472441034069,0.011054780236110971,0.004334794626666227,0.9061012719225612,0.008106292703757885
shg-frog,4,peak_energy,0.01,False,True,0.006696140291241732,1.0815136814896145,0.01152306407352446,0.00047357931393448606,0.7999751739248184,0.004437189264042298
shg-frog,4,peak_energy,0.05,False,False,0.0025398050031945436,0.6957512615346945,0.005535270690718661,2.2470421144291444e-05,0.5983800924231867,0.0025867831583655746
shg-frog,4,peak_energy,0.05,False,True,0.0043621690455767186,0.495045304195112,0.005971985926667502,-0.0018603919317305272,0.21350679663031602,-0.0011138888828146603
shg-frog,4,peak_energy,0.1,False,False,0.002324913312745069,0.4207501857055311,0.0033227582572462606,-0.0001924212693051831,0.3233790165940233,0.00037427072489317403
shg-frog,4,peak_energy,0.1,False,True,0.002231766650862233,0.31271082999993816,0.003512781579244592,-0.003990794326445012,0.031172322435142175,-0.0035730932302375706
shg-frog,5,unmasked,0.0,False,False,0.010974675277275005,0.06948138050708097,0.01289957480155116,0.0,0.0,0.0
shg-frog,5,unmasked,0.0,False,True,0.02590126873678486,0.15471421335795216,0.028795965113934386,0.0,0.0,0.0
shg-frog,5,unmasked,0.0,True,False,0.005573360835778418,0.050520360034242644,0.007126321487285223,0.0,0.0,0.0
shg-frog,5,unmasked,0.0,True,True,0.006590780628923995,0.13922150549572404,0.010083496870887883,0.0,0.0,0.0
shg-frog,5,peak_energy,0.01,False,False,0.017841768902722436,0.7644131828890047,0.029101421332269832,0.006867093625447431,0.6949318023819238,0.016201846530718673
shg-frog,5,peak_energy,0.01,False,True,0.01707527240262905,0.5152486962848875,0.026247163957889993,-0.00882599633415581,0.3605344829269353,-0.0025488011560443925
shg-frog,5,peak_energy,0.05,False,False,0.004067241533918761,0.09362077855170028,0.006326460832336527,-0.006907433743356244,0.024139398044619315,-0.006573113969214632
shg-frog,5,peak_energy,0.05,False,True,0.004127130083609216,0.1251552965476406,0.007831958460118426,-0.021774138653175644,-0.02955891681031156,-0.02096400665381596
shg-frog,5,peak_energy,0.1,False,False,0.003042194050520187,0.06340683711020613,0.005305801544954034,-0.007932481226754818,-0.00607454339687484,-0.007593773256597125
shg-frog,5,peak_energy,0.1,False,True,0.004103596228383866,0.11128348536365638,0.0064965646812311425,-0.021797672508400995,-0.04343072799429577,-0.022299400432703245
shg-frog,6,unmasked,0.0,False,False,0.0076775505234387385,0.06750604400163551,0.008691318733477602,0.0,0.0,0.0
